# Hytale Recipe Reference

> Generated 2026-05-27T03:53:09.173Z from `_Assets/Server/Item/Recipes/` (standalone) and `_Assets/Server/Item/Items/` (embedded `Recipe` blocks).

Each entry: `id | inputs → outputs | bench | time`. `(type)` after an ingredient means it accepts any item of that ResourceType (e.g. `Wood_Trunk(type)` matches any trunk wood). `bench=Type[Id,Categories]`.

Regenerate: `node tools/recipes/extract-recipes.js`

## Recipes (1947)

- Alchemy_Cauldron | 6×Ingredient_Bar_Copper + 4×Soil_Clay_Smooth_White + 2×Ingredient_Tree_Sap → 1×Alchemy_Cauldron | bench=Crafting[Furniture_Bench,Furniture_Misc] | —
- Alchemy_Cauldron_Big | 12×Ingredient_Bar_Iron + 8×Soil_Clay_Smooth_White + 4×Ingredient_Tree_Sap → 1×Alchemy_Cauldron_Big | bench=Crafting[Furniture_Bench,Furniture_Misc] | —
- Armor_Adamantite_Chest | 28×Ingredient_Bar_Adamantite + 8×Ingredient_Leather_Heavy + 7×Ingredient_Fabric_Scrap_Cindercloth → 1×Armor_Adamantite_Chest | bench=Crafting[Armor_Bench,Armor_Chest] | 3s
- Armor_Adamantite_Hands | 12×Ingredient_Bar_Adamantite + 4×Ingredient_Leather_Heavy + 3×Ingredient_Fabric_Scrap_Cindercloth → 1×Armor_Adamantite_Hands | bench=Crafting[Armor_Bench,Armor_Hands] | 3s
- Armor_Adamantite_Head | 15×Ingredient_Bar_Adamantite + 5×Ingredient_Leather_Heavy + 4×Ingredient_Fabric_Scrap_Cindercloth → 1×Armor_Adamantite_Head | bench=Crafting[Armor_Bench,Armor_Head] | 3s
- Armor_Adamantite_Legs | 22×Ingredient_Bar_Adamantite + 7×Ingredient_Leather_Heavy + 6×Ingredient_Fabric_Scrap_Cindercloth → 1×Armor_Adamantite_Legs | bench=Crafting[Armor_Bench,Armor_Legs] | 3s
- Armor_Bronze_Chest | 6×Ingredient_Bar_Bronze + 2×Wood_Trunk(type) + 2×Ingredient_Leather_Light → 1×Armor_Bronze_Chest | bench=Crafting[TODO,Armor_Chest] | 2s | knowledge-required
- Armor_Bronze_Hands | 2×Ingredient_Bar_Bronze + 1×Wood_Trunk(type) + 2×Ingredient_Leather_Light → 1×Armor_Bronze_Hands | bench=Crafting[TODO,Armor_Hands] | 2s | knowledge-required
- Armor_Bronze_Head | 3×Ingredient_Bar_Bronze + 2×Wood_Trunk(type) + 2×Ingredient_Leather_Light → 1×Armor_Bronze_Head | bench=Crafting[TODO,Armor_Head] | 2s | knowledge-required
- Armor_Bronze_Legs | 4×Ingredient_Bar_Bronze + 2×Wood_Trunk(type) + 3×Ingredient_Leather_Light → 1×Armor_Bronze_Legs | bench=Crafting[TODO,Armor_Legs] | 2s | knowledge-required
- Armor_Bronze_Ornate_Chest | 6×Ingredient_Bar_Bronze + 2×Wood_Trunk(type) + 2×Ingredient_Leather_Medium → 1×Armor_Bronze_Ornate_Chest | bench=Crafting[TODO,Armor_Chest] | 2s | knowledge-required
- Armor_Bronze_Ornate_Hands | 2×Ingredient_Bar_Bronze + 1×Wood_Trunk(type) + 2×Ingredient_Leather_Medium → 1×Armor_Bronze_Ornate_Hands | bench=Crafting[TODO,Armor_Hands] | 2s | knowledge-required
